alloy,fold,setting,model,r2,mae,pearson_r,pearson_p,n_train,n_test,n_features,elapsed_s
AZ31,0,close_filt,ChemProp,-2.912599121226106,143.84830780426662,0.0107267902353811,0.9697346097956184,815,15,43.0,85.5
AZ31,0,close_filt,GBR,-0.3040215826846162,111.51452072269596,0.1377950516568468,0.6243275134716277,815,15,2091.0,84.3
AZ31,0,close_filt,kNN_Tan,-0.2708877888653338,116.60586990486767,0.2033834621172867,0.4672154569244688,815,15,2091.0,0.0
AZ31,0,close_filt,MLP,-0.1933073013463224,121.5419909477234,0.0898710977083104,0.7500921277535245,815,15,2091.0,250.2
AZ31,0,close_filt,RF,-0.1387396437644641,100.218846,0.2938910023153515,0.2876931624815656,815,15,2091.0,132.2
AZ31,0,close_unfilt,ChemProp,0.2541074855832365,84.02140304247538,0.509324728825364,0.0524733801756073,899,15,43.0,106.4
AZ31,0,close_unfilt,GBR,0.4089760169265328,70.74259967227653,0.6880856009937889,0.0045723414905152,899,15,2091.0,93.3
AZ31,0,close_unfilt,kNN_Tan,0.3599414938135076,72.75844176719302,0.6699278492268368,0.006286145426061,899,15,2091.0,0.2
AZ31,0,close_unfilt,MLP,0.2060726802434507,81.88988659183184,0.4900535537783881,0.0636806347541302,899,15,2091.0,191.8
AZ31,0,close_unfilt,RF,0.3023895565764425,72.77707622222222,0.6186545913883489,0.0139447884315681,899,15,2091.0,150.5
AZ31,0,exact,ChemProp,-0.0582280462900859,111.49606475830078,0.5057619206679651,0.0544271609486535,60,15,3.0,13.9
AZ31,0,exact,GBR,-0.0666817263079151,102.9814210844376,0.2937727680114664,0.2878962271398387,60,15,2051.0,9.5
AZ31,0,exact,kNN_Tan,-0.055758616956941,107.55038808083616,0.3047410534067449,0.269420563444473,60,15,2051.0,0.0
AZ31,0,exact,MLP,-0.0428074486488669,112.8977471669515,0.2691877322829927,0.331955560006549,60,15,2051.0,6.5
AZ31,0,exact,RF,0.0495749761422218,89.83990666666668,0.3814289253574052,0.160670687785976,60,15,2051.0,10.8
AZ31,0,far_filt,ChemProp,-0.2707321429351066,119.71478538513183,0.3815331335868763,0.1605468626416669,4745,15,48.0,625.6
AZ31,0,far_filt,GBR,0.1148341368535218,90.56717815107666,0.3543952510806822,0.1949583699681645,4745,15,2096.0,1222.8
AZ31,0,far_filt,kNN_Tan,-0.344029951691204,118.53705433009704,0.1423549652402364,0.6127879805347874,4745,15,2096.0,0.0
AZ31,0,far_filt,MLP,-0.0297030280920276,92.76104952494303,0.1578962320599781,0.574100928485607,4745,15,2096.0,1038.0
AZ31,0,far_filt,RF,-0.0720122412256552,97.61285181904762,0.3241451622570934,0.2385332681315874,4745,15,2096.0,1185.6
AZ31,0,far_unfilt,ChemProp,0.2109664995122288,90.74423832893372,0.4810149667634146,0.0694952589675552,4854,15,48.0,670.5
AZ31,0,far_unfilt,GBR,0.4009596921650209,75.6089184358816,0.7453677723466702,0.0014256762895745,4854,15,2096.0,2102.3
AZ31,0,far_unfilt,kNN_Tan,0.2419840736488354,76.68476015412858,0.6017407035759496,0.0176318893099667,4854,15,2096.0,0.1
AZ31,0,far_unfilt,MLP,0.2680355187846452,76.96491834322612,0.5421488106220097,0.0368157120445006,4854,15,2096.0,281.4
AZ31,0,far_unfilt,RF,0.3067006209064313,73.72915245714285,0.6176436027946272,0.0141467802704018,4854,15,2096.0,1639.5
AZ31,1,close_filt,ChemProp,-0.1960705679828713,134.60170809427896,0.3762498054245689,0.1669047915832417,795,15,43.0,93.0
AZ31,1,close_filt,GBR,-0.430268977758637,159.98957369541915,0.3541630434670333,0.1952717606470604,795,15,2091.0,95.3
AZ31,1,close_filt,kNN_Tan,-0.6153750474902995,166.40618222861218,0.0397083759253867,0.8882633464813774,795,15,2091.0,0.0
AZ31,1,close_filt,MLP,-0.2250478753457139,153.24094556172687,0.3042225483183131,0.2702774572308511,795,15,2091.0,233.6
AZ31,1,close_filt,RF,-0.57676538648718,174.3189748888889,0.3061239037895199,0.2671432535639184,795,15,2091.0,133.4
AZ31,1,close_unfilt,ChemProp,0.4420400219186202,110.4517827351888,0.6990456086892745,0.0037329113875059,899,15,43.0,107.6
AZ31,1,close_unfilt,GBR,0.4628741820219176,98.4411241964696,0.8748208978647368,1.9696305183236832e-05,899,15,2091.0,94.0
AZ31,1,close_unfilt,kNN_Tan,0.3654589564708387,103.29678978582751,0.717087255454108,0.0026218777704233,899,15,2091.0,0.0
AZ31,1,close_unfilt,MLP,0.2873457996807012,100.39130980173746,0.6736439383749722,0.005899738644944,899,15,2091.0,195.2
AZ31,1,close_unfilt,RF,0.1167940108276025,131.49501466666663,0.8451742708643284,7.276562151717533e-05,899,15,2091.0,153.9
AZ31,1,exact,ChemProp,-0.3322673579992616,163.4337247212728,0.5177009447441416,0.0480832808666787,60,15,3.0,14.9
AZ31,1,exact,GBR,-0.4849605149759848,162.65701552719963,0.2195329321867656,0.4317808781297865,60,15,2051.0,9.9
AZ31,1,exact,kNN_Tan,-0.2925723642038891,137.52092047085227,0.2535347417467631,0.361887942329814,60,15,2051.0,0.0
AZ31,1,exact,MLP,-0.0972348095001169,143.49668534596762,0.5225343319079211,0.0456766997381421,60,15,2051.0,7.2
AZ31,1,exact,RF,-0.5425618451411953,167.51566666666668,0.3110959581767046,0.2590516033024853,60,15,2051.0,11.5
AZ31,1,far_filt,ChemProp,-0.0204434298150002,127.56587950388592,0.481537185066252,0.0691492655080323,4700,15,48.0,639.1
AZ31,1,far_filt,GBR,-0.3814606566585319,158.35564662501076,0.3511784050202198,0.1993287676649516,4700,15,2096.0,1743.4
AZ31,1,far_filt,kNN_Tan,-0.841120489171588,185.65222967610745,0.1903543878155464,0.4967983662209529,4700,15,2096.0,0.0
AZ31,1,far_filt,MLP,-0.5342828893770439,172.16687966982525,0.3429640896632899,0.2107721130072123,4700,15,2096.0,1000.6
AZ31,1,far_filt,RF,-0.5888064870592833,174.8558006084656,0.3068228542710884,0.2659966458576442,4700,15,2096.0,1152.1
AZ31,1,far_unfilt,ChemProp,0.2837922846579056,133.1824103673299,0.5932948792211269,0.0197325531540991,4854,15,48.0,673.9
AZ31,1,far_unfilt,GBR,0.3582357136288923,117.55580046506184,0.8895257782304921,9.06960329373737e-06,4854,15,2096.0,1238.3
AZ31,1,far_unfilt,kNN_Tan,0.2783840138441762,118.02356537879152,0.681403035368586,0.005153387638976,4854,15,2096.0,0.1
AZ31,1,far_unfilt,MLP,0.2917992390911856,103.49258610407512,0.6467614361536691,0.0091667357944387,4854,15,2096.0,325.0
AZ31,1,far_unfilt,RF,0.0785255111861389,134.3748726984127,0.8500054003911545,5.99456753316309e-05,4854,15,2096.0,1670.6
AZ31,2,close_filt,ChemProp,0.3747824355096888,106.20595585505168,0.7216640540286209,0.0023872208766598,812,15,43.0,86.9
AZ31,2,close_filt,GBR,0.3318910236662341,112.56769988407795,0.6895086356951855,0.0044556054269605,812,15,2091.0,94.0
AZ31,2,close_filt,kNN_Tan,0.7128029579020677,76.54647652196739,0.8457284156678212,7.118939339845125e-05,812,15,2091.0,0.0
AZ31,2,close_filt,MLP,-0.0157117111111102,158.318989054362,0.1986717116046895,0.4778132087841059,812,15,2091.0,225.5
AZ31,2,close_filt,RF,0.2973591867580597,114.74279133333332,0.5633766700475331,0.0287453450244017,812,15,2091.0,126.7
AZ31,2,close_unfilt,ChemProp,0.6486419685511932,87.23192656834921,0.8776648720176793,1.7084631525158907e-05,899,15,43.0,105.0
AZ31,2,close_unfilt,GBR,0.8897548238273147,49.327856860123845,0.9905838116004094,1.2994016688598402e-12,899,15,2091.0,94.1
AZ31,2,close_unfilt,kNN_Tan,0.6710545275297994,60.25732573735274,0.9731146536339312,1.14075755180371e-09,899,15,2091.0,0.0
AZ31,2,close_unfilt,MLP,0.890684680021715,39.983865690231326,0.9607433932511102,1.2965791122598634e-08,899,15,2091.0,159.3
AZ31,2,close_unfilt,RF,0.6133326137285706,84.51107844444445,0.8741157244083106,2.0392689607755344e-05,899,15,2091.0,155.2
AZ31,2,exact,ChemProp,-0.0189380351499517,151.311159769694,0.3621486914495331,0.1846799909863193,60,15,3.0,14.3
AZ31,2,exact,GBR,0.2618190389929714,121.52796318863264,0.526354504676307,0.0438385469488834,60,15,2051.0,9.9
AZ31,2,exact,kNN_Tan,0.3465344947615446,105.46514253060391,0.6574520204913052,0.0077313912286563,60,15,2051.0,0.1
AZ31,2,exact,MLP,0.153147379250493,146.96823450724284,0.6555908127446569,0.0079676576218435,60,15,2051.0,16.3
