alloy,fold,setting,model,r2,mae,pearson_r,pearson_p,n_train,n_test,n_features,elapsed_s
MgCa,0,close_filt,ChemProp,-12.633002481075971,21.634506870593345,-0.0004853937272538,0.99868602452774,1164,14,43.0,136.6
MgCa,0,close_filt,GBR,-9.343576769268912,23.401924362528792,0.5183994553027417,0.0575452547281488,1164,14,2091.0,137.5
MgCa,0,close_filt,kNN_Tan,-105.3358048713506,64.09677456489253,-0.0474707343104959,0.8719765719046849,1164,14,2091.0,0.0
MgCa,0,close_filt,MLP,-18.15020710218975,33.78127359918186,0.092600253470785,0.7528740195413174,1164,14,2091.0,238.1
MgCa,0,close_filt,RF,-1.7173297173499682,12.301941551020407,0.5030713211763543,0.0667021541788792,1164,14,2091.0,191.5
MgCa,0,close_unfilt,ChemProp,-12.251519632208003,21.49628828253065,-0.0475522301154266,0.8717584389774797,1198,14,43.0,132.9
MgCa,0,close_unfilt,GBR,-24.04823981475489,27.466131042867723,0.2859797249439934,0.3215969185830228,1198,14,2091.0,61.7
MgCa,0,close_unfilt,kNN_Tan,-144.344257165628,46.03076155451748,0.2273757149627212,0.4343519839075139,1198,14,2091.0,0.1
MgCa,0,close_unfilt,MLP,-37.9422058034232,31.78657618803637,0.1946785289878333,0.5048142159819616,1198,14,2091.0,168.1
MgCa,0,close_unfilt,RF,-5.050141129708196,12.686744261904762,0.2286976082468376,0.4316121166780985,1198,14,2091.0,181.7
MgCa,0,exact,ChemProp,-0.0145883825598789,7.314862796238491,-0.5123999338283715,0.0610140691986936,42,14,3.0,22.0
MgCa,0,exact,GBR,-0.3976047605811241,8.422227289457535,-0.1711844513048852,0.5584515626862709,42,14,2051.0,7.8
MgCa,0,exact,kNN_Tan,-5.406887497936768,18.723216723917627,-0.0334894338125346,0.9095122875507068,42,14,2051.0,0.0
MgCa,0,exact,MLP,-0.5033634966801961,8.992562225886754,-0.1639081691380852,0.5755346442088928,42,14,2051.0,14.8
MgCa,0,exact,RF,-0.3659615905506173,8.5901,-0.1806178628221146,0.5366292744713334,42,14,2051.0,8.4
MgCa,0,far_filt,ChemProp,-7.852137029982034,23.721211701631542,0.1252853824944007,0.6695557411303348,5116,14,48.0,681.7
MgCa,0,far_filt,GBR,-3.5853010600339523,15.0665437561178,-0.3240210681497533,0.2584032928469459,5116,14,2096.0,1760.0
MgCa,0,far_filt,kNN_Tan,-83.43975241737216,58.17571102044086,-0.1534277789254921,0.6005085613242681,5116,14,2096.0,0.0
MgCa,0,far_filt,MLP,-10.927569108565285,26.717637164252142,-0.320623096781968,0.2637184454644641,5116,14,2096.0,237.0
MgCa,0,far_filt,RF,-1.947640024301844,12.751757779591838,0.5212518463413436,0.0559469119488507,5116,14,2096.0,610.9
MgCa,0,far_unfilt,ChemProp,-5.9914416046842405,20.988495554242814,0.2224447970498299,0.4446487225525798,5153,14,48.0,683.0
MgCa,0,far_unfilt,GBR,-4.158235992932653,15.260424855590452,0.0501911623867734,0.8646996916977275,5153,14,2096.0,761.3
MgCa,0,far_unfilt,kNN_Tan,-206.65207254287813,48.35916423024127,0.1193032015740912,0.6845742017862737,5153,14,2096.0,0.1
MgCa,0,far_unfilt,MLP,-22.321004972845746,23.8230163029262,0.1630713524515435,0.5775129464090332,5153,14,2096.0,255.7
MgCa,0,far_unfilt,RF,-5.108107060141584,12.958921802721088,0.218868598422349,0.4521913940588292,5153,14,2096.0,603.5
MgCa,1,close_filt,ChemProp,-0.6420373728629012,24.926398068666455,0.2945307712217529,0.3066896583792219,1143,14,43.0,134.3
