,Exact,Close filt.,Close unfilt.,Far filt.,Far unfilt.
RF,0.00635974248611737,0.0015824328785434272,0.0,0.001382356740023516,0.0
GBR,0.004691684215457181,0.00032788380217041446,0.0,0.01764649043515698,0.0
MLP,0.003095295793280939,0.1174696615428592,0.0,0.12901515579039358,0.0
kNN-Tanimoto,0.03631617090505879,0.008323969946042897,0.0,2.139658057365157e-05,0.0
ChemProp,0.005867315359362468,0.004119822788198779,0.0,6.301167005451358e-05,0.0
Gemini 3.1 Pro,0.0,0.0,0.0,0.0,0.0
