alloy_a,alloy_b,n,r,r_lo,r_hi,r_partial,n_partial
HPMg51ppmFe,E21,75,0.8613,0.7590,0.9305,0.8174,67
HPMg51ppmFe,HPMg50ppmFe,74,0.3906,0.1536,0.5971,0.2633,66
HPMg51ppmFe,HPMg51ppmFe,80,1.0000,1.0000,1.0000,1.0000,80
HPMg51ppmFe,MgCa,13,0.2091,-0.4680,0.6431,-0.1455,11
HPMg51ppmFe,WE43,77,0.8890,0.8213,0.9312,0.8518,69
HPMg51ppmFe,ZE41,75,0.7298,0.5934,0.8123,0.6330,67
MgCa,AM50,14,0.2420,-0.5172,0.7241,-0.1997,12
MgCa,AZ31,15,0.3059,-0.2778,0.7140,0.1403,13
MgCa,AZ91,11,0.2916,-0.4712,0.9029,-0.1339,9
MgCa,CPMg220ppmFe,21,0.0540,-0.3529,0.4688,-0.1539,18
MgCa,CPMg342ppmFe,45,0.0817,-0.2617,0.3929,0.0716,40
MgCa,E21,13,0.2366,-0.4035,0.7571,-0.2551,11
MgCa,HPMg50ppmFe,15,0.2540,-0.2232,0.7006,0.2173,13
MgCa,HPMg51ppmFe,13,0.2091,-0.4915,0.6629,-0.1455,11
MgCa,MgCa,49,1.0000,1.0000,1.0000,1.0000,49
MgCa,WE43,14,0.1584,-0.4831,0.6163,-0.2098,12
MgCa,ZE41,15,0.3524,-0.2566,0.7898,0.1183,13
WE43,AM50,99,0.8317,0.7326,0.8985,0.7741,89
WE43,AZ31,97,0.8045,0.7102,0.8703,0.7410,87
WE43,AZ91,97,0.8016,0.7020,0.8736,0.7329,87
WE43,CPMg220ppmFe,95,0.5798,0.4201,0.7002,0.4780,85
WE43,CPMg342ppmFe,21,0.3974,-0.0368,0.7778,0.1180,18
WE43,E21,100,0.8443,0.7455,0.9066,0.7881,90
WE43,HPMg50ppmFe,84,0.4683,0.2871,0.6219,0.3754,75
WE43,HPMg51ppmFe,77,0.8890,0.8208,0.9328,0.8518,69
WE43,MgCa,14,0.1584,-0.5111,0.6466,-0.2098,12
WE43,WE43,104,1.0000,1.0000,1.0000,1.0000,104
WE43,ZE41,99,0.7856,0.6822,0.8655,0.7103,89
ZE41,AM50,99,0.7740,0.6756,0.8417,0.7250,89
ZE41,AZ31,100,0.8278,0.7444,0.8909,0.7682,90
ZE41,AZ91,95,0.7412,0.6238,0.8305,0.6540,85
ZE41,CPMg220ppmFe,96,0.6832,0.5485,0.7968,0.6105,86
ZE41,CPMg342ppmFe,22,0.3258,-0.1066,0.6323,0.1029,19
ZE41,E21,97,0.6662,0.5220,0.7707,0.5458,87
ZE41,HPMg50ppmFe,85,0.6117,0.4600,0.7329,0.5316,76
ZE41,HPMg51ppmFe,75,0.7298,0.6004,0.8143,0.6330,67
ZE41,MgCa,15,0.3524,-0.2607,0.7978,0.1183,13
ZE41,WE43,99,0.7856,0.6774,0.8634,0.7103,89
ZE41,ZE41,105,1.0000,1.0000,1.0000,1.0000,105
