model,exact,close_filt,close_unfilt,far_filt,far_unfilt
RF,-0.106,-0.141,0.445,-0.123,0.397
GBR,-0.14,-0.159,0.679,-0.078,0.583
MLP,-0.097,-0.111,0.501,-0.17,0.536
kNN_Tan,-0.189,-1.19,-0.14,-0.49,-0.103
ChemProp,-0.137,-0.491,0.478,-0.152,0.416
Gemini3.1Pro,0.039,0.107,0.357,0.19,0.472
