model,exact,close_filt,close_unfilt,far_filt,far_unfilt
RF,107.078,106.947,75.072,106.435,78.186
GBR,111.072,109.598,55.967,108.733,70.819
MLP,124.17,123.707,56.125,110.733,57.726
kNN_Tan,114.164,127.33,79.019,113.635,78.153
ChemProp,127.508,110.24,79.325,107.914,81.881
Gemini3.1Pro,94.434,87.653,74.682,89.836,68.216
